Car ID,Title,Price,Category,Brand,Model,Year,Tax Type,Condition,Body Type,Fuel,Transmission,Color,District,City
11610130,2015 Alphard Exclusive Lounge V6 តំលៃ,68000,Cars for Sale,Toyota,Alphard,2015,Tax Paper,Used,MPV (Minivan),Petrol,Auto,Black,Tuol Kouk,Phnom Penh
11641626,បាត់ដំបង 08 Full 12500ចរចា ម្ចាស់ប្រើថែណាស់,12500,Cars for Sale,Toyota,Prius,2008,Plate Number,Used,NaN,Electric,Auto,White,Krong Battambang,Battambang
11650175,02Leឡានស្អាតលក់ប្រញាប់លុយ9900$,9900,Cars for Sale,Toyota,Camry,2002,Plate Number,Used,SUV,Petrol,Auto,White,Krong Chbar Mon,Kampong Speu
11032805,Prius 05ស fullស្លាកលេខBL-xxxxថ្មីណាស់,10700,Cars for Sale,Toyota,Prius,2005,Plate Number,Used,Sedan,Hybrid,Auto,White,Por Senchey,Phnom Penh
11599868,TOYOTA Prius,11300,Cars for Sale,Toyota,Prius,2008,Plate Number,Used,NaN,Petrol,Auto,Blue,Saensokh,Phnom Penh
11629702,Prius 012 option 2ក្រដាសពន្ធថ្មី,17900,Cars for Sale,Toyota,Prius,2012,Plate Number,Used,Sedan,Hybrid,Auto,Gray,Tuol Kouk,Phnom Penh
11660522,Toyota Prius 2012,14800,Cars for Sale,Toyota,Prius,2012,Tax Paper,Used,NaN,Hybrid,Auto,Green,Preaek Pnov,Phnom Penh
11356679,TOYOTA Camry,1500,Cars for Sale,Toyota,Camry,1995,Plate Number,Used,NaN,Petrol,Auto,Blue,Krong Saen Monourom,Mondulkiri
11631278,Highlander 2002 ប៉ុង2,13000,Cars for Sale,Toyota,Highlander,2002,Plate Number,Used,SUV,Petrol,Auto,Silver,Puok,Siem Reap
11466969,Toyota Tacoma,7500,Cars for Sale,Toyota,Tacoma,2001,Plate Number,Used,NaN,Petrol,Auto,Gold,Mean Chey,Phnom Penh
11456911,Toyota Camry 09 hybrid full option,17000,Cars for Sale,Toyota,Camry,2009,Plate Number,Used,Sedan,Hybrid,Auto,Gold,Mean Chey,Phnom Penh
11629341,ថ្មីខ្លាំងណាស់ Vitz 012 White ឡានមូល 100%,10150,Cars for Sale,Toyota,Vitz,2012,Tax Paper,Used,Sedan,Petrol,Auto,White,Ruessei Kaev,Phnom Penh
11555029,2008 VIP V8 Diesel update 2021,43500,Cars for Sale,Toyota,Land Cruiser,2008,Plate Number,Used,SUV,Diesel,Auto,White,Tuol Kouk,Phnom Penh
11668391,Toyota Hiace (AUTO),6800,Cars for Sale,Toyota,Hiace,1994,Plate Number,Used,MPV (Minivan),Petrol,Auto,White,Tuol Kouk,Phnom Penh
11244812,Prius persona 2013 opt3,22000,Cars for Sale,Toyota,Prius,2013,Tax Paper,Used,Hatchback,Hybrid,Auto,White,Doun Penh,Phnom Penh
11653790,Toyota Highlander 2009,25500,Cars for Sale,Toyota,NaN,2009,Plate Number,Used,SUV,Petrol,NaN,White,Saensokh,Phnom Penh
11668522,"Prius year 2004, Full no map",7800,Cars for Sale,Toyota,Prius,2004,Plate Number,New,Other,Petrol,Auto,Red,Mean Chey,Phnom Penh
11588878,Toyota Corolla 2011,15500,Cars for Sale,Toyota,Corolla,2011,Plate Number,Used,Sedan,Petrol,Auto,Black,Saensokh,Phnom Penh
11265734,Alphard 2024 កៅអីដើកណ្តាល ខ្លាញ់គោ មានស្រាប់,184000,Cars for Sale,Toyota,Alphard,2024,Tax Paper,New,MPV (Minivan),Petrol,Auto,White,Tuol Kouk,Phnom Penh
11202453,Toyota Alphard 2024 ប្រភេទឡានក្រដាសពន្ធ,193000,Cars for Sale,Toyota,Alphard,2024,Tax Paper,New,MPV (Minivan),Petrol,Auto,White,Prampir Meakkakra,Phnom Penh
11567356,Tacoma ឆ្នាំ02 6ម៉ាសុីន ប៉ុង2 កាប់ពីតាស់ ឡានស្អាត,8800,Cars for Sale,Toyota,Tacoma,2002,Plate Number,Used,Pickup,Petrol,Auto,Silver,Ruessei Kaev,Phnom Penh
11542539,Toyota Prius 2017 prime,29500,Cars for Sale,Toyota,Prius,2017,Plate Number,Used,Hatchback,Hybrid,Auto,Gray,Chrouy Changva,Phnom Penh
11666884,Camry ឆ្លាម 1998,4900,Cars for Sale,Toyota,Camry,1998,Plate Number,Used,Sedan,Petrol,Auto,Gold,Por Senchey,Phnom Penh
11643453,Alphard 2010 Option G កៅអីចុច2 DVD គូថបឺត,25800,Cars for Sale,Toyota,Alphard,2010,Tax Paper,New,MPV (Minivan),Petrol,Auto,White,Ruessei Kaev,Phnom Penh
11662738,ឡានស្អាតអគុយ010អABSតែមសរថ្មី,10800,Cars for Sale,Toyota,Prius,2006,Plate Number,Used,SUV,Petrol,Auto,White,Tuol Kouk,Phnom Penh
11650175,02Leឡានស្អាតលក់ប្រញាប់លុយ9900$,9900,Cars for Sale,Toyota,Camry,2002,Plate Number,Used,SUV,Petrol,Auto,White,Krong Chbar Mon,Kampong Speu
11622659,Camry 07 hybrid,12700,Cars for Sale,Toyota,Camry,2007,Plate Number,Used,Sedan,Hybrid,Auto,Silver,Saensokh,Phnom Penh
11660435,លក់ Prius 2006 full no map ហ្គិច,9200,Cars for Sale,Toyota,Prius,2006,Plate Number,New,Sedan,Hybrid,Auto,Green,Mean Chey,Phnom Penh
11644792,Toyota Highlander V6 limited 2008,28500,Cars for Sale,Toyota,Highlander,2008,Tax Paper,New,SUV,Hybrid,Auto,White,Saensokh,Phnom Penh
11542138,Highlander 09 V6 hybrid Full Option ប៉ុង2,31600,Cars for Sale,Toyota,Highlander,2009,Tax Paper,New,SUV,Hybrid,Auto,White,Chbar Ampov,Phnom Penh
11653135,sienna 011,23000,Cars for Sale,Toyota,Sienna,2011,Plate Number,Used,MPV (Minivan),Diesel,Auto,White,Phnom Penh,NaN
11416369,Toyota Hiace,34000,Cars for Sale,Toyota,Hiace,2011,Plate Number,New,MPV (Minivan),Petrol,Auto,White,Doun Penh,Phnom Penh
11613837,Toyota Vitz,7800,Cars for Sale,Toyota,Vitz,2010,Tax Paper,New,SUV,NaN,Auto,Silver,Kamboul,Phnom Penh
11307566,Prius 2012 option 3,18500,Cars for Sale,Toyota,Prius,2012,Tax Paper,New,Sedan,Hybrid,Auto,White,Por Senchey,Phnom Penh
11552867,Corolla លក់,2490,Cars for Sale,Toyota,Corolla,1994,Plate Number,Used,Other,Petrol,Auto,Blue,Krong Siem Reab,Siem Reap
11299379,Alphard 2024 VIP 7កៅអីធំ ឡានខ្លាញ់គោ,183000,Cars for Sale,Toyota,Alphard,2024,Tax Paper,New,MPV (Minivan),Petrol,Auto,Gray,Tuol Kouk,Phnom Penh
11579660,TOYOTA Prius លក់បន្ទាន់​,10500,Cars for Sale,Toyota,Prius,2007,Plate Number,Used,Sedan,Hybrid,Auto,Silver,Por Senchey,Phnom Penh
11665793,Toyota Highlander 03 V4 Pong1 ប្រភេទឡានស្អាត ថ្មីម៉ាចប់ ឯក កាសាហ្សុិនទាំងអស់,14100,Cars for Sale,Toyota,Highlander,2003,Plate Number,Used,Other,Petrol,Auto,Silver,Chamkar Mon,Phnom Penh
11657184,Toyota Prius 2006 Full Option,10932,Cars for Sale,Toyota,Prius,2006,Plate Number,New,Hatchback,Hybrid,Auto,Gray,Tuol Kouk,Phnom Penh
11584936,ថ្មីណាស់លិតបានបងៗ😋 រៀបចំហើយស្អាតលះ,26800,Cars for Sale,Toyota,Alphard,2010,Tax Paper,Used,NaN,NaN,Auto,White,Ruessei Kaev,Phnom Penh
11668430,Toyota បាឡែន 02 LE ABS,7850,Cars for Sale,Toyota,Camry,2002,Plate Number,Used,Sedan,Petrol,Auto,White,Dangkao,Phnom Penh
11639019,ឡានលក់ប្រញាប់លុយ12200,12200,Cars for Sale,Toyota,Prius,2008,Plate Number,New,Sedan,NaN,Auto,White,Mean Chey,Phnom Penh
11098371,Alphard 2024 កៅអីធំ ថ្មីខ្លាញ់គោ Big Seat,190000,Cars for Sale,Toyota,Alphard,2024,Tax Paper,New,MPV (Minivan),Petrol,Auto,Black,Tuol Kouk,Phnom Penh
11571564,🚘 𝐓𝐨𝐲𝐨𝐭𝐚  𝐂𝐚𝐦𝐫𝐲 𝐋𝐄 𝟐𝟎𝟎𝟕🤍💵price ចរចាបាន ជាប្រភេទឡានស្អាត,15500,Cars for Sale,Toyota,Camry,2007,Tax Paper,New,SUV,Petrol,Auto,Green,Por Senchey,Phnom Penh
11652548,ឡានលក់,18000,Cars for Sale,Toyota,Vios,2019,Plate Number,Used,Sedan,Petrol,Auto,White,Tuol Kouk,Phnom Penh
11432600,Hiace VIP V6 3.5L លេខអូតូរ 2020,78888,Cars for Sale,Toyota,Hiace,2020,Plate Number,Used,MPV (Minivan),Petrol,Auto,Silver,Chrouy Changva,Phnom Penh
11544237,លក់Toyota prius04 full ថ្មីណាស់,8500,Cars for Sale,Toyota,Prius,2004,Plate Number,Used,SUV,Petrol,Auto,Silver,Chamkar Mon,Phnom Penh
11667186,លក់ឡានស្អាត Camry XLE បាឡែនឆ្នាំ2002,7600,Cars for Sale,Toyota,Camry,2002,Plate Number,Used,SUV,Petrol,Auto,Red,Saensokh,Phnom Penh
11453834,Land cruiser GX-R 2013,72500,Cars for Sale,Toyota,Land Cruiser,2013,Tax Paper,Used,SUV,Petrol,Auto,White,Prampir Meakkakra,Phnom Penh
11664220,Prius 08 Full Touring,10900,Cars for Sale,Toyota,Prius,2008,Plate Number,Used,SUV,Hybrid,Auto,Gold,Chamkar Mon,Phnom Penh
11668523,Land crucriser1992,5000,Cars for Sale,Toyota,Land Cruiser,1992,Plate Number,Used,NaN,Diesel,Auto,White,Boeng Keng Kang,Phnom Penh
11487179,98 LE ឡានថ្មី អត់សូវជិៈ លក់បន្ទាន់,5200,Cars for Sale,Toyota,Camry,1998,Plate Number,Used,SUV,Petrol,Auto,Gray,Mean Chey,Phnom Penh
11612351,Prius for sale owned by Japanese and good condition,9500,Cars for Sale,Toyota,Prius,2008,Plate Number,Used,Sedan,Hybrid,Auto,Gold,Mean Chey,Phnom Penh
11654438,Highlander 02 ម៉ាសុីន6 ប៉ុង2 បើកដំបូល ឡានថ្មីណាស់ ម្ចាស់ដើមទី1,14500,Cars for Sale,Toyota,Highlander,2002,Plate Number,Used,SUV,Petrol,Auto,White,Dangkao,Phnom Penh
11290688,Toyota alphard 2015 executive launge សាងបានតម្លៃល្អ🩷,61000,Cars for Sale,Toyota,Alphard,2015,Tax Paper,Used,Other,Petrol,Auto,White,Saensokh,Phnom Penh
11590484,Toyota fortuner 2022 legendaer,56800,Cars for Sale,Toyota,Fortuner,2022,Plate Number,Used,SUV,Diesel,Auto,White,Tuol Kouk,Phnom Penh
11639529,Toyot RAV4 L 01 pong1 color Silver 2Z:,7900,Cars for Sale,Toyota,RAV4,2001,Plate Number,Used,Other,Petrol,Auto,Silver,Prampir Meakkakra,Phnom Penh
11526205,Toyota Prius 2007 Full Option ឡានកាលីថ្មីណាស់បងប្អូន ទឹកថ្នាំសុីនម៉ាជុំ  🇺🇸🥇មកមើលដឹងតែពេញចិត្ត,13500,Cars for Sale,Toyota,Prius,2007,Tax Paper,New,Sedan,Hybrid,Auto,White,Tuol Kouk,Phnom Penh
11614286,Priuse 2006 half MC,8777,Cars for Sale,Toyota,Prius,2006,Plate Number,New,SUV,NaN,Auto,Silver,Por Senchey,Phnom Penh
11659921,05 HF លក់បន្ទាន់9200$ដាច់,9200,Cars for Sale,Toyota,Prius,2005,Plate Number,Used,Sedan,Hybrid,Auto,White,Saensokh,Phnom Penh
11582432,TOYOTA Highlander,11000,Cars for Sale,Toyota,Highlander,2002,Plate Number,Used,SUV,Petrol,Auto,Gold,Dangkao,Phnom Penh
11098371,Alphard 2024 កៅអីធំ ថ្មីខ្លាញ់គោ Big Seat,190000,Cars for Sale,Toyota,Alphard,2024,Tax Paper,New,MPV (Minivan),Petrol,Auto,Black,Tuol Kouk,Phnom Penh
11582633,Alphard(2014)ផ្លាកលេខខ្ពស់កៅម៉ាស្សាធំ,29666,Cars for Sale,Toyota,Alphard,2014,Tax Paper,Used,MPV (Minivan),Petrol,Auto,Black,Mean Chey,Phnom Penh
11432186,ឡានលក់ vite 08 អត់បុកអត់ច្រេះ,7300,Cars for Sale,Toyota,Vitz,2008,Plate Number,Used,NaN,NaN,NaN,Silver,Mean Chey,Phnom Penh
11252431,ឡានលក់ឆ្នាំ02LE,9800,Cars for Sale,Toyota,Camry,2002,Plate Number,Used,NaN,NaN,NaN,White,Samraong Tong,Kampong Speu
11634905,TOYOTA ALPHARD ទើបតែមកថ្មី☺️ក្រដាសពន្ធ,110000,Cars for Sale,Toyota,Alphard,2019,Tax Paper,Used,MPV (Minivan),Petrol,Auto,Silver,Tuol Kouk,Phnom Penh
11636593,Toyota Land Cruiser ឆ្នាំ2016 Full option V6 សាំង អារ៉ាប ម្ចាស់ដើម,77500,Cars for Sale,Toyota,Land Cruiser,2016,Plate Number,New,SUV,Petrol,Auto,White,Tuol Kouk,Phnom Penh
11146751,ឡានលក់,20989,Cars for Sale,Toyota,Prius,2013,Tax Paper,New,Hatchback,Hybrid,Auto,White,Ruessei Kaev,Phnom Penh
11584751,Toyota Prius,18700,Cars for Sale,Toyota,Prius,2013,Plate Number,Used,Sedan,Hybrid,Auto,White,Saensokh,Phnom Penh
11601103,ឡាន​ស្អាត​ Camery 97 ម្ចាស់​ដើម​ផ្ទាល់​ តម្លៃ​ចរាចរ​,4500,Cars for Sale,Toyota,Camry,1997,Plate Number,Used,NaN,Petrol,Auto,Gray,Memot,Tboung Khmum
11651674,ឡានស្អាតលក់ឆ្នាំ2005HF ម្ចាស់ដើម,9900,Cars for Sale,Toyota,Prius,2005,Plate Number,Used,SUV,Hybrid,Auto,White,Krong Siem Reab,Siem Reap
11643453,Alphard 2010 Option G កៅអីចុច2 DVD គូថបឺត,25800,Cars for Sale,Toyota,Alphard,2010,Tax Paper,New,MPV (Minivan),Petrol,Auto,White,Ruessei Kaev,Phnom Penh
11637483,បាឡែ០២xle,9700,Cars for Sale,Toyota,Camry,2002,Plate Number,Used,SUV,Petrol,Auto,White,Banan,Battambang
11553627,ឡានលក់ Highlander 2003 V4 ប៉ុងមួយ តែមខ្មៅគូទក្រញ៉ាញ ប្រភេទឡានមូលឡានសានុំ Grade A,14900,Cars for Sale,Toyota,Highlander,2003,Plate Number,New,SUV,Petrol,Auto,Silver,Mean Chey,Phnom Penh
11580914,Tacoma 2004 ប៉ុង ភ្លេីង អូតូកាប់ពីតាស ម្ចាស់ដេីម Full Option,8900,Cars for Sale,Toyota,Tacoma,2004,Plate Number,Used,NaN,Petrol,Auto,Gold,Baray,Kampong Thom
11594153,Toyota Camry,14000,Cars for Sale,Toyota,Camry,2010,Plate Number,Used,Sedan,Petrol,Auto,Gray,Saensokh,Phnom Penh
11668544,RAV4L 2001p1បេីកតំបូលលក់7800$,7800,Cars for Sale,Toyota,RAV4,2001,Tax Paper,New,NaN,Petrol,Auto,Silver,Chamkar Mon,Phnom Penh
11665717,Prius 07 full no map,11500,Cars for Sale,Toyota,Prius,2007,Plate Number,Used,Sedan,Hybrid,Auto,Gray,Saensokh,Phnom Penh
11410399,Toyota Prius,16900,Cars for Sale,Toyota,Prius,2010,Tax Paper,Used,Hatchback,NaN,Auto,White,Mean Chey,Phnom Penh
11645704,Tacoma 02 ប៉ុង2 អូតូកាពីតាស,9999,Cars for Sale,Toyota,Tacoma,2002,Plate Number,Used,NaN,Petrol,Auto,Gray,Kamboul,Phnom Penh
11265736,Alphard 2024 កៅអីដើកណ្តាល ខ្លាញ់គោ,184000,Cars for Sale,Toyota,Alphard,2024,Tax Paper,New,MPV (Minivan),Petrol,Auto,Black,Tuol Kouk,Phnom Penh
11643549,06 full no map តម្លៃរៀប 12700$,12700,Cars for Sale,Toyota,Prius,2006,Tax Paper,Used,Sedan,Petrol,Auto,White,Boeng Keng Kang,Phnom Penh
11639336,Toyota Wigo 2024,16500,Cars for Sale,Toyota,Wigo,2024,Plate Number,Used,SUV,Petrol,Auto,White,Saensokh,Phnom Penh
11232788,Tacoma TRD 2007 ឌុយដាំបាយ,15699,Cars for Sale,Toyota,Tacoma,2007,Plate Number,Used,Pickup,Petrol,Auto,White,Krakor,Pursat
11108155,កំពូលថ្មី Prius 2013 option3 Persona ស្អាតណាស់,22700,Cars for Sale,Toyota,Prius,2013,Tax Paper,New,Sedan,Hybrid,Auto,White,Tuol Kouk,Phnom Penh
11543330,Toyota Prius,7650,Cars for Sale,Toyota,Prius,2004,Plate Number,Used,Sedan,Hybrid,Auto,Blue,Prey Nob,Preah Sihanouk
11470368,Rav4 L 2001 ប៉ុង1 បើកដំបូល ហ្វូលអប់សិន ថ្មីខ្លាំងណាស់,9500,Cars for Sale,Toyota,RAV4,2001,Plate Number,Used,SUV,Petrol,Auto,White,Krong Siem Reab,Siem Reap
11649466,ឡានលក់ Toyota Scion 05 ពណ៍ប្រាក់,6800,Cars for Sale,Toyota,Scion,2005,Plate Number,Used,SUV,Petrol,Auto,Silver,Krong Ta Khmau,Kandal
11625283,Tacoma 2006 auto pong2 capitas,16000,Cars for Sale,Toyota,Tacoma,2006,Plate Number,Used,Pickup,Petrol,Auto,White,Chrouy Changva,Phnom Penh
11425286,prius07fullឡានក្រដាស់ពន្ធ,11800,Cars for Sale,Toyota,Prius,2007,Tax Paper,New,Sedan,Hybrid,Auto,Blue,Mean Chey,Phnom Penh
11338000,Camry 2007 Hybrid នៅឃ្មុំសុីន,15200,Cars for Sale,Toyota,Camry,2007,Plate Number,Used,NaN,NaN,Auto,White,Saensokh,Phnom Penh
11467902,ឡានលក់ALPHARD 2011 Foll,26500,Cars for Sale,Toyota,Alphard,2011,Tax Paper,New,MPV (Minivan),Petrol,Auto,White,Kamboul,Phnom Penh
11619676,ឡានលក់ឆ្នាំ03 le បើកដំបូល ABS កៅអីចុច,8300,Cars for Sale,Toyota,Camry,2003,Plate Number,Used,Sedan,Petrol,Auto,Silver,Mean Chey,Phnom Penh
11452203,SALE PRIUS 04 up 06,8700,Cars for Sale,Toyota,Prius,2004,Plate Number,Used,NaN,NaN,Manual,Gold,Mean Chey,Phnom Penh
11636209,Toyota Prius,20800,Cars for Sale,Toyota,Prius,2010,Tax Paper,Used,Sedan,Hybrid,Auto,White,Saensokh,Phnom Penh
11323077,Highlander 09 V4 លក់ចចារ ស្លាកលេខ BA-XXXX,25000,Cars for Sale,Toyota,Highlander,2009,Plate Number,Used,SUV,Petrol,Auto,White,Banteay Meas,Kampot
11543850,2012,18700,Cars for Sale,Toyota,Prius,2012,Plate Number,Used,Sedan,Petrol,Auto,Green,Kamboul,Phnom Penh
11543330,Toyota Prius,7650,Cars for Sale,Toyota,Prius,2004,Plate Number,Used,Sedan,Hybrid,Auto,Blue,Prey Nob,Preah Sihanouk
11606127,Vellfire 2016 Up LM 21 V4 ឡានស្អាត អត់បុកប៉ះ,61000,Cars for Sale,Toyota,Vellfire,2016,Plate Number,Used,MPV (Minivan),Petrol,Auto,White,Ruessei Kaev,Phnom Penh
11510675,Tacoma 99ស្អាត លក់ប្រញាប់,5799,Cars for Sale,Toyota,Tacoma,1999,Plate Number,Used,Pickup,Petrol,Manual,White,Krong Siem Reab,Siem Reap
11584943,Prius 2007 Full Option,10800,Cars for Sale,Toyota,Prius,2007,Tax Paper,Used,NaN,NaN,Auto,Black,Ruessei Kaev,Phnom Penh
11544185,Toyota Highlander,14500,Cars for Sale,Toyota,Highlander,2003,Plate Number,Used,NaN,NaN,NaN,Gold,Mean Chey,Phnom Penh
11565350,Toyota Prius 05 Full option,8500,Cars for Sale,Toyota,Prius,2005,Plate Number,Used,SUV,Hybrid,Auto,Red,Por Senchey,Phnom Penh
11621399,Alphard 015 ឡើង 021 ថ្មីណាស់,62800,Cars for Sale,Toyota,Alphard,2015,Tax Paper,Used,Sedan,Petrol,Auto,White,Ruessei Kaev,Phnom Penh
11656400,Toyota Prius Option2 full advence,29800,Cars for Sale,Toyota,Prius,2017,Tax Paper,New,Hatchback,Hybrid,Auto,White,Saensokh,Phnom Penh
11650979,"🚘 2012 Prius option3 សន្លឹកពន្ធ :$18,500",18500,Cars for Sale,Toyota,Prius,2012,Tax Paper,New,Sedan,Hybrid,Auto,Gray,Tuol Kouk,Phnom Penh
11642730,Prius 2011 Opt 3 ក្នុង ស ឡានមូល,14900,Cars for Sale,Toyota,Prius,2011,Tax Paper,New,Sedan,Petrol,Auto,White,Saensokh,Phnom Penh
11583150,Toyota Alphard 2020 V6 Full Option Spec Russia,128500,Cars for Sale,Toyota,Alphard,2020,Plate Number,New,MPV (Minivan),Petrol,Auto,Black,Saensokh,Phnom Penh
11135037,Toyota Tacoma,15500,Cars for Sale,Toyota,Tacoma,2006,Plate Number,Used,Pickup,Petrol,Auto,Silver,Krong Siem Reab,Siem Reap
11521258,Highlander 2002 (Limited -Full option),15300,Cars for Sale,Toyota,Highlander,2002,Plate Number,Used,SUV,Petrol,Auto,Gold,Mean Chey,Phnom Penh
11283184,Pruis09 HF ស្អាតថ្មី (អាចវៃដូបាន),12900,Cars for Sale,Toyota,Prius,2009,Plate Number,Used,SUV,Petrol,NaN,White,Por Senchey,Phnom Penh
11337060,Toyota Veloz 2025 ថ្មី100%,35900,Cars for Sale,Toyota,Veloz,2025,Tax Paper,New,SUV,Petrol,Auto,White,Saensokh,Phnom Penh
11634190,លក់Toyota prius2004 Full,8500,Cars for Sale,Toyota,Prius,2004,Plate Number,Used,SUV,Petrol,Auto,Silver,Chamkar Mon,Phnom Penh
11650428,HILux ViGo ឆ្វេងសុីន,20800,Cars for Sale,Toyota,Hilux Vigo,2008,Plate Number,Used,Pickup,Diesel,Auto,Black,Saensokh,Phnom Penh
11460023,ឡានលក់,16999,Cars for Sale,Toyota,Highlander,2007,Plate Number,New,SUV,Petrol,Auto,Gold,Krong Siem Reab,Siem Reap
11423778,Corrola 96 នៅស្អាត តម្លៃម៉ូតូ  សុីសាំងតិចណាស់ ស្ទុះល្អ,2750,Cars for Sale,Toyota,Corolla,1996,Plate Number,Used,Sedan,Petrol,Auto,Gold,Krong Siem Reab,Siem Reap
11656715,Toyota Prius 2011 Option 2 Up Android 360 ថ្មី​គ្មានទាស់​ ទឹក​ថ្នាំហ្សុីនមួយជុំ​,17800,Cars for Sale,Toyota,Prius,2011,Plate Number,Used,Sedan,Hybrid,Auto,Gray,Por Senchey,Phnom Penh
11549756,ឡានលក់ ម៉ូដែល Starex HVX ឆ្នាំ 2012,15300,Cars for Sale,Hyundai,Starex,2012,Tax Paper,New,Other,Diesel,Auto,Silver,Chrouy Changva,Phnom Penh
11622204,ម្ចាស់ដើមទី1ផ្លាលេខ2CC ស្រុីនមួយជុំ,25800,Cars for Sale,Toyota,Alphard,2010,Plate Number,Used,SUV,Petrol,Auto,White,Chamkar Mon,Phnom Penh
11093043,Toyota Prius 2004 full option,8800,Cars for Sale,Toyota,Prius,2004,Plate Number,Used,Hatchback,Hybrid,Auto,Silver,Chamkar Mon,Phnom Penh
11642702,លក់Toyota prius 04 HF,7500,Cars for Sale,Toyota,Prius,2004,Plate Number,Used,NaN,Hybrid,Auto,Silver,Por Senchey,Phnom Penh
11496494,Toyota Prius 2008 h~f,12500,Cars for Sale,Toyota,Prius,2008,Tax Paper,New,Sedan,Hybrid,Auto,Gray,Dangkao,Phnom Penh
11650993,Toyota Prius Full Option 2006,10600,Cars for Sale,Toyota,Prius,2006,Plate Number,Used,Sedan,Hybrid,Auto,Silver,Saensokh,Phnom Penh
11281756,ALPHARD 2013 ក្រដាសពន្ធថ្មី,29500,Cars for Sale,Toyota,Alphard,2013,Tax Paper,Used,MPV (Minivan),Petrol,Auto,White,Ruessei Kaev,Phnom Penh
11645393,Vitz 011 Smart Key,8990,Cars for Sale,Toyota,Vitz,2011,Tax Paper,Used,Sedan,Petrol,Auto,Blue,Ruessei Kaev,Phnom Penh
11554861,Pruis09 HF ចរចារបាន,12900,Cars for Sale,Toyota,Prius,2009,Plate Number,Used,NaN,NaN,NaN,White,Por Senchey,Phnom Penh
11398704,Toyota Prius,13800,Cars for Sale,Toyota,Prius,2009,Tax Paper,New,SUV,Hybrid,Auto,Gray,Saensokh,Phnom Penh
11657891,Camry 07,13860,Cars for Sale,Toyota,Camry,2007,Plate Number,Used,Sedan,Hybrid,Auto,Silver,Dangkao,Phnom Penh
11662937,ឡាន លក់,18900,Cars for Sale,Toyota,Highlander,2004,Plate Number,Used,NaN,NaN,NaN,White,Krong Ta Khmau,Kandal
11383943,Prius 2010 (Opt4) Sola ពណ៌​ស​ ឃ្មុំស៉ីន​ ក្រដាស់ពន្ធ​,20500,Cars for Sale,Toyota,Prius,2010,Tax Paper,Used,Hatchback,Hybrid,Auto,White,Phnom Penh,NaN
11581073,Vellfire 2015 V6 upgrade Alphard 2022 V6,61600,Cars for Sale,Toyota,Alphard,2015,Plate Number,Used,MPV (Minivan),Petrol,Auto,White,Prampir Meakkakra,Phnom Penh
